Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Single Event",05/01/2025,9:00:00 AM,05/01/2025,10:00:00 AM,FALSE,,"Shillman Hall",FALSE
"Standup",05/12/2025,2:00:00 AM,05/12/2025,3:00:00 AM,FALSE,,,FALSE
"PDP - Online Class",05/02/2025,1:00:00 PM,05/02/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Online Class",05/03/2025,1:00:00 PM,05/03/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Online Class",05/09/2025,1:00:00 PM,05/09/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Online Class",05/10/2025,1:00:00 PM,05/10/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Online Class",05/16/2025,1:00:00 PM,05/16/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Online Class",05/17/2025,1:00:00 PM,05/17/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Online Class",05/23/2025,1:00:00 PM,05/23/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Online Class",05/24/2025,1:00:00 PM,05/24/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Online Class",05/30/2025,1:00:00 PM,05/30/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Online Class",05/31/2025,1:00:00 PM,05/31/2025,2:00:00 PM,FALSE,,"Zoom Meet",FALSE
"PDP - Offline Class",05/05/2025,3:30:00 PM,05/05/2025,5:00:00 PM,FALSE,,,FALSE
"PDP - Offline Class",05/06/2025,3:30:00 PM,05/06/2025,5:00:00 PM,FALSE,,,FALSE
"PDP - Offline Class",05/12/2025,3:30:00 PM,05/12/2025,5:00:00 PM,FALSE,,,FALSE
"PDP - Offline Class",05/13/2025,3:30:00 PM,05/13/2025,5:00:00 PM,FALSE,,,FALSE
"PDP - Offline Class",05/19/2025,3:30:00 PM,05/19/2025,5:00:00 PM,FALSE,,,FALSE
"PDP - Offline Class",05/20/2025,3:30:00 PM,05/20/2025,5:00:00 PM,FALSE,,,FALSE
"PDP - Offline Class",05/26/2025,3:30:00 PM,05/26/2025,5:00:00 PM,FALSE,,,FALSE
"PDP - Offline Class",05/27/2025,3:30:00 PM,05/27/2025,5:00:00 PM,FALSE,,,FALSE
"PDP - Offline Class",06/02/2025,3:30:00 PM,06/02/2025,5:00:00 PM,FALSE,,,FALSE
"PDP - Offline Class",06/03/2025,3:30:00 PM,06/03/2025,5:00:00 PM,FALSE,,,FALSE
