Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Event 2",03/11/2025,9:00:00 AM,03/11/2025,10:00:00 AM,FALSE,,,FALSE
"Event 6",03/15/2025,12:00:00 PM,03/15/2025,1:00:00 PM,FALSE,"Lunch with client","Restaurant",FALSE
"Event 7",04/02/2025,10:00:00 AM,04/02/2025,11:00:00 AM,FALSE,,,FALSE
"Event 7",04/07/2025,10:00:00 AM,04/07/2025,11:00:00 AM,FALSE,,,FALSE
"Event 7",04/09/2025,10:00:00 AM,04/09/2025,11:00:00 AM,FALSE,,,FALSE
"Event 7",04/14/2025,10:00:00 AM,04/14/2025,11:00:00 AM,FALSE,,,FALSE
"Event 7",04/16/2025,10:00:00 AM,04/16/2025,11:00:00 AM,FALSE,,,FALSE
"Event 8",04/03/2025,10:00:00 AM,04/03/2025,11:00:00 AM,FALSE,,,FALSE
"Event 8",04/08/2025,10:00:00 AM,04/08/2025,11:00:00 AM,FALSE,,,FALSE
"Event 8",04/10/2025,10:00:00 AM,04/10/2025,11:00:00 AM,FALSE,,,FALSE
"Event 8",04/15/2025,10:00:00 AM,04/15/2025,11:00:00 AM,FALSE,,,FALSE
"Event 9",04/04/2025,2:00:00 PM,04/04/2025,3:00:00 PM,FALSE,"Weekly update",,FALSE
"Event 9",04/11/2025,2:00:00 PM,04/11/2025,3:00:00 PM,FALSE,"Weekly update",,FALSE
"Event 9",04/18/2025,2:00:00 PM,04/18/2025,3:00:00 PM,FALSE,"Weekly update",,FALSE
"Event 9",04/25/2025,2:00:00 PM,04/25/2025,3:00:00 PM,FALSE,"Weekly update",,FALSE
"Event 9",05/02/2025,2:00:00 PM,05/02/2025,3:00:00 PM,FALSE,"Weekly update",,FALSE
"Event 9",05/09/2025,2:00:00 PM,05/09/2025,3:00:00 PM,FALSE,"Weekly update",,FALSE
"Event 10",04/05/2025,1:00:00 PM,04/05/2025,2:00:00 PM,FALSE,,"Main Hall",FALSE
"Event 10",04/06/2025,1:00:00 PM,04/06/2025,2:00:00 PM,FALSE,,"Main Hall",FALSE
"Event 10",04/07/2025,1:00:00 PM,04/07/2025,2:00:00 PM,FALSE,,"Main Hall",FALSE
"Event 11",04/09/2025,9:00:00 AM,04/09/2025,10:00:00 AM,FALSE,,,TRUE
"Event 11",04/10/2025,9:00:00 AM,04/10/2025,10:00:00 AM,FALSE,,,TRUE
"Event 11",04/16/2025,9:00:00 AM,04/16/2025,10:00:00 AM,FALSE,,,TRUE
"Event 11",04/17/2025,9:00:00 AM,04/17/2025,10:00:00 AM,FALSE,,,TRUE
"Event 11",04/23/2025,9:00:00 AM,04/23/2025,10:00:00 AM,FALSE,,,TRUE
"Event 11",04/24/2025,9:00:00 AM,04/24/2025,10:00:00 AM,FALSE,,,TRUE
"Event 11",04/30/2025,9:00:00 AM,04/30/2025,10:00:00 AM,FALSE,,,TRUE
"Event 12",04/08/2025,3:00:00 PM,04/08/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 12",04/12/2025,3:00:00 PM,04/12/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 12",04/15/2025,3:00:00 PM,04/15/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 12",04/19/2025,3:00:00 PM,04/19/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 12",04/22/2025,3:00:00 PM,04/22/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 12",04/26/2025,3:00:00 PM,04/26/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 12",04/29/2025,3:00:00 PM,04/29/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 12",05/03/2025,3:00:00 PM,05/03/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 12",05/06/2025,3:00:00 PM,05/06/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 12",05/10/2025,3:00:00 PM,05/10/2025,4:00:00 PM,FALSE,"Scheduled maintenance","Server Room",FALSE
"Event 13",04/07/2025,11:00:00 AM,04/07/2025,12:00:00 PM,FALSE,,,FALSE
"Event 13",04/09/2025,11:00:00 AM,04/09/2025,12:00:00 PM,FALSE,,,FALSE
"Event 13",04/14/2025,11:00:00 AM,04/14/2025,12:00:00 PM,FALSE,,,FALSE
"Event 13",04/16/2025,11:00:00 AM,04/16/2025,12:00:00 PM,FALSE,,,FALSE
"Event 13",04/21/2025,11:00:00 AM,04/21/2025,12:00:00 PM,FALSE,,,FALSE
"Event 13",04/23/2025,11:00:00 AM,04/23/2025,12:00:00 PM,FALSE,,,FALSE
"Event 13",04/28/2025,11:00:00 AM,04/28/2025,12:00:00 PM,FALSE,,,FALSE
"Event 13",04/30/2025,11:00:00 AM,04/30/2025,12:00:00 PM,FALSE,,,FALSE
"Event 13",05/05/2025,11:00:00 AM,05/05/2025,12:00:00 PM,FALSE,,,FALSE
"Event 14",04/08/2025,12:00:00 PM,04/08/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",04/10/2025,12:00:00 PM,04/10/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",04/15/2025,12:00:00 PM,04/15/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",04/17/2025,12:00:00 PM,04/17/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",04/22/2025,12:00:00 PM,04/22/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",04/24/2025,12:00:00 PM,04/24/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",04/29/2025,12:00:00 PM,04/29/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",05/01/2025,12:00:00 PM,05/01/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",05/06/2025,12:00:00 PM,05/06/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",05/08/2025,12:00:00 PM,05/08/2025,1:00:00 PM,FALSE,,,FALSE
"Event 14",05/13/2025,12:00:00 PM,05/13/2025,1:00:00 PM,FALSE,,,FALSE
"Event 15",04/11/2025,4:00:00 PM,04/11/2025,5:00:00 PM,FALSE,"End-of-week summary",,FALSE
"Event 15",04/18/2025,4:00:00 PM,04/18/2025,5:00:00 PM,FALSE,"End-of-week summary",,FALSE
"Event 15",04/25/2025,4:00:00 PM,04/25/2025,5:00:00 PM,FALSE,"End-of-week summary",,FALSE
"Event 15",05/02/2025,4:00:00 PM,05/02/2025,5:00:00 PM,FALSE,"End-of-week summary",,FALSE
"Event 15",05/09/2025,4:00:00 PM,05/09/2025,5:00:00 PM,FALSE,"End-of-week summary",,FALSE
"Event 15",05/16/2025,4:00:00 PM,05/16/2025,5:00:00 PM,FALSE,"End-of-week summary",,FALSE
"Event 15",05/23/2025,4:00:00 PM,05/23/2025,5:00:00 PM,FALSE,"End-of-week summary",,FALSE
"Event 15",05/30/2025,4:00:00 PM,05/30/2025,5:00:00 PM,FALSE,"End-of-week summary",,FALSE
"Event 15",06/06/2025,4:00:00 PM,06/06/2025,5:00:00 PM,FALSE,"End-of-week summary",,FALSE
"Event 16",04/12/2025,8:00:00 AM,04/12/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",04/13/2025,8:00:00 AM,04/13/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",04/14/2025,8:00:00 AM,04/14/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",04/19/2025,8:00:00 AM,04/19/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",04/20/2025,8:00:00 AM,04/20/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",04/21/2025,8:00:00 AM,04/21/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",04/26/2025,8:00:00 AM,04/26/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",04/27/2025,8:00:00 AM,04/27/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",04/28/2025,8:00:00 AM,04/28/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/03/2025,8:00:00 AM,05/03/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/04/2025,8:00:00 AM,05/04/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/05/2025,8:00:00 AM,05/05/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/10/2025,8:00:00 AM,05/10/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/11/2025,8:00:00 AM,05/11/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/12/2025,8:00:00 AM,05/12/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/17/2025,8:00:00 AM,05/17/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/18/2025,8:00:00 AM,05/18/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/19/2025,8:00:00 AM,05/19/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/24/2025,8:00:00 AM,05/24/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/25/2025,8:00:00 AM,05/25/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/26/2025,8:00:00 AM,05/26/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",05/31/2025,8:00:00 AM,05/31/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/01/2025,8:00:00 AM,06/01/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/02/2025,8:00:00 AM,06/02/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/07/2025,8:00:00 AM,06/07/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/08/2025,8:00:00 AM,06/08/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/09/2025,8:00:00 AM,06/09/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/14/2025,8:00:00 AM,06/14/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/15/2025,8:00:00 AM,06/15/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/16/2025,8:00:00 AM,06/16/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/21/2025,8:00:00 AM,06/21/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/22/2025,8:00:00 AM,06/22/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/23/2025,8:00:00 AM,06/23/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/28/2025,8:00:00 AM,06/28/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/29/2025,8:00:00 AM,06/29/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",06/30/2025,8:00:00 AM,06/30/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 16",07/05/2025,8:00:00 AM,07/05/2025,9:00:00 AM,FALSE,,"Training Room",FALSE
"Event 17",04/16/2025,1:00:00 PM,04/16/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",04/17/2025,1:00:00 PM,04/17/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",04/23/2025,1:00:00 PM,04/23/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",04/24/2025,1:00:00 PM,04/24/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",04/30/2025,1:00:00 PM,04/30/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",05/01/2025,1:00:00 PM,05/01/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",05/07/2025,1:00:00 PM,05/07/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",05/08/2025,1:00:00 PM,05/08/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",05/14/2025,1:00:00 PM,05/14/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",05/15/2025,1:00:00 PM,05/15/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",05/21/2025,1:00:00 PM,05/21/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",05/22/2025,1:00:00 PM,05/22/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",05/28/2025,1:00:00 PM,05/28/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",05/29/2025,1:00:00 PM,05/29/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",06/04/2025,1:00:00 PM,06/04/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",06/05/2025,1:00:00 PM,06/05/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",06/11/2025,1:00:00 PM,06/11/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",06/12/2025,1:00:00 PM,06/12/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",06/18/2025,1:00:00 PM,06/18/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",06/19/2025,1:00:00 PM,06/19/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",06/25/2025,1:00:00 PM,06/25/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",06/26/2025,1:00:00 PM,06/26/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",07/02/2025,1:00:00 PM,07/02/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",07/03/2025,1:00:00 PM,07/03/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",07/09/2025,1:00:00 PM,07/09/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",07/10/2025,1:00:00 PM,07/10/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",07/16/2025,1:00:00 PM,07/16/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",07/17/2025,1:00:00 PM,07/17/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",07/23/2025,1:00:00 PM,07/23/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",07/24/2025,1:00:00 PM,07/24/2025,2:00:00 PM,FALSE,,,TRUE
"Event 17",07/30/2025,1:00:00 PM,07/30/2025,2:00:00 PM,FALSE,,,TRUE
